iter	Passed	Remaining
881	2581	1808
882	2583	1805
883	2586	1802
884	2589	1799
885	2591	1796
886	2594	1793
887	2597	1790
888	2600	1787
889	2603	1784
890	2606	1781
891	2608	1778
892	2611	1775
893	2614	1772
894	2617	1769
895	2619	1766
896	2622	1763
897	2625	1760
898	2628	1756
899	2630	1753
900	2633	1750
901	2635	1747
902	2638	1744
903	2641	1741
904	2644	1738
905	2646	1735
906	2649	1732
907	2652	1729
908	2654	1726
909	2657	1723
910	2660	1720
911	2663	1716
912	2665	1713
913	2668	1710
914	2670	1707
915	2673	1704
916	2676	1701
917	2679	1698
918	2681	1695
919	2684	1692
920	2687	1689
921	2691	1687
922	2694	1684
923	2697	1681
924	2699	1678
925	2702	1675
926	2705	1672
927	2707	1669
928	2710	1666
929	2713	1662
930	2715	1659
931	2718	1656
932	2721	1653
933	2723	1650
934	2726	1647
935	2729	1644
936	2731	1641
937	2734	1638
938	2737	1635
939	2739	1632
940	2742	1629
941	2745	1626
942	2747	1623
943	2750	1620
944	2753	1616
945	2755	1613
946	2758	1610
947	2761	1607
948	2763	1604
949	2766	1601
950	2769	1598
951	2772	1595
952	2774	1592
953	2777	1589
954	2780	1586
955	2783	1583
956	2785	1580
957	2788	1577
958	2790	1574
959	2793	1571
960	2796	1568
961	2798	1565
962	2801	1562
963	2803	1559
964	2806	1555
965	2809	1552
966	2811	1549
967	2814	1546
968	2817	1543
969	2819	1540
970	2822	1537
971	2825	1534
972	2829	1532
973	2832	1529
974	2835	1526
975	2837	1523
976	2840	1520
977	2843	1517
978	2845	1514
979	2848	1511
980	2851	1508
981	2853	1505
982	2856	1502
983	2859	1499
984	2862	1496
985	2864	1493
986	2867	1490
987	2870	1487
988	2872	1484
989	2875	1481
990	2878	1478
991	2881	1475
992	2883	1472
993	2886	1469
994	2888	1466
995	2891	1463
996	2894	1460
997	2896	1457
998	2899	1454
999	2902	1451
1000	2905	1448
1001	2908	1445
1002	2910	1442
1003	2913	1439
1004	2916	1436
1005	2920	1434
1006	2923	1431
1007	2926	1428
1008	2928	1425
1009	2931	1422
1010	2934	1419
1011	2937	1416
1012	2939	1413
1013	2942	1410
1014	2945	1407
1015	2948	1404
1016	2950	1401
1017	2953	1398
1018	2956	1395
1019	2958	1392
1020	2961	1389
1021	2963	1386
1022	2966	1383
1023	2971	1381
1024	2974	1378
1025	2976	1375
1026	2979	1372
1027	2981	1369
1028	2984	1366
1029	2987	1363
1030	2989	1359
1031	2992	1356
1032	2994	1353
1033	2997	1350
1034	3000	1347
1035	3002	1344
1036	3005	1341
1037	3007	1338
1038	3010	1335
1039	3012	1332
1040	3015	1329
1041	3018	1326
1042	3021	1323
1043	3023	1320
1044	3026	1317
1045	3029	1314
1046	3031	1311
