Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-04 01:33:17.044629,1,2,3,17,67,0,0
2025-12-04 01:33:30.901106,1,2,3,21,76,0,0
2025-12-04 01:33:44.313942,1,1,4,19,84,0,0
2025-12-04 01:33:57.134413,1,2,1,22,83,0,0
2025-12-04 01:34:10.941916,1,2,4,24,83,0,0
2025-12-04 01:34:24.361830,1,2,1,25,83,0,0
2025-12-04 01:34:37.219147,1,1,1,25,83,0,0
2025-12-04 01:34:50.035348,1,1,1,25,83,0,0
2025-12-04 01:35:03.853332,1,1,1,20,78,0,0
2025-12-04 01:35:17.170876,1,1,1,24,84,0,0
2025-12-04 01:35:30.030788,1,1,1,20,90,0,0
2025-12-04 01:35:42.944639,1,1,1,15,88,0,0
2025-12-04 01:35:55.758236,1,2,1,16,88,0,0
2025-12-04 01:36:09.569493,1,2,1,21,92,0,0
2025-12-04 01:36:22.492221,1,1,1,23,95,0,0
2025-12-04 01:36:36.399163,1,2,1,24,99,0,0
2025-12-04 01:36:49.213105,1,1,2,18,94,0,0
2025-12-04 01:37:02.129149,1,1,1,21,93,0,0
2025-12-04 01:37:15.944229,1,1,2,17,93,0,0
2025-12-04 01:37:28.854956,1,2,1,14,78,0,0
2025-12-04 01:37:41.670571,1,1,3,20,84,0,0
2025-12-04 01:37:55.532577,1,1,2,19,88,0,0
2025-12-04 01:38:08.897596,1,1,1,14,88,0,0
2025-12-04 01:38:21.665010,1,1,2,14,88,0,0
2025-12-04 01:38:34.575369,1,1,3,20,87,0,0
2025-12-04 01:38:48.485918,1,1,1,15,87,0,0
2025-12-04 01:39:01.812081,1,1,2,14,79,0,0
2025-12-04 01:39:16.267019,1,2,2,18,80,0,0
2025-12-04 01:39:29.133433,1,1,2,19,81,0,0
2025-12-04 01:39:43.053335,1,2,4,15,70,0,0
2025-12-04 01:39:58.017338,1,1,1,15,67,0,0
2025-12-04 01:40:10.880993,1,1,1,14,67,0,0
2025-12-04 01:40:23.742641,1,1,1,14,66,0,0
2025-12-04 01:40:37.605870,1,1,3,17,75,0,0
2025-12-04 01:40:50.978211,1,1,2,21,73,0,0
2025-12-04 01:41:03.784461,1,1,1,22,66,0,0
2025-12-04 01:41:16.672936,1,1,1,21,77,0,0
2025-12-04 01:41:32.115015,1,1,1,22,84,0,0
2025-12-04 01:41:45.528427,1,1,4,23,66,0,0
2025-12-04 01:41:58.345076,1,2,3,24,70,0,0
2025-12-04 01:42:11.301420,1,1,1,25,78,0,0
2025-12-04 01:42:25.136658,1,2,3,25,81,0,0
2025-12-04 01:42:37.938137,1,2,4,25,83,0,0
2025-12-04 01:42:51.753845,1,2,1,18,86,0,0
2025-12-04 01:43:04.669930,1,1,3,14,80,0,0
2025-12-04 01:43:18.585458,1,1,2,18,64,0,0
2025-12-04 01:43:31.397125,1,1,3,14,64,0,0
2025-12-04 01:43:44.262625,1,1,1,13,64,0,0
2025-12-04 01:43:57.177747,1,1,1,17,64,0,0
2025-12-04 01:44:10.592448,1,1,1,21,73,0,0
2025-12-04 01:44:23.409472,1,1,1,23,67,0,0
2025-12-04 01:44:36.272449,1,2,1,22,68,0,0
2025-12-04 01:44:49.189347,1,1,2,21,76,0,0
2025-12-04 01:45:03.053045,1,2,3,20,88,0,0
2025-12-04 01:45:16.424972,1,2,3,22,75,0,0
2025-12-04 01:45:29.287594,1,2,3,14,71,0,0
2025-12-04 01:45:43.199113,1,2,1,20,82,0,0
2025-12-04 01:45:56.015593,1,2,3,23,92,0,0
2025-12-04 01:46:10.333650,1,2,1,24,92,0,0
2025-12-04 01:46:23.747807,1,1,1,21,92,0,0
2025-12-04 01:46:36.662194,1,1,1,21,86,0,0
2025-12-04 01:46:49.476972,1,1,1,24,88,0,0
2025-12-04 01:47:02.391428,1,2,2,25,88,0,0
2025-12-04 01:47:16.204310,1,1,1,25,100,0,0
2025-12-04 01:47:29.568446,1,1,1,25,99,0,0
2025-12-04 01:47:42.384087,1,2,2,24,91,0,0
2025-12-04 01:47:55.256432,1,1,1,25,93,0,0
2025-12-04 01:48:08.101429,1,1,1,25,91,0,0
2025-12-04 01:48:22.431486,1,1,3,25,93,0,0
2025-12-04 01:48:35.746597,1,2,2,25,94,0,0
2025-12-04 01:48:49.114574,1,2,3,25,94,0,0
2025-12-04 01:49:01.938239,1,1,3,17,84,0,0
2025-12-04 01:49:14.843428,1,2,2,18,68,0,0
2025-12-04 01:49:28.161476,1,2,2,17,72,0,0
2025-12-04 01:49:42.081717,1,2,2,22,84,0,0
2025-12-04 01:49:55.897093,1,2,1,25,99,0,0
2025-12-04 01:50:10.262218,1,1,1,25,93,0,0
2025-12-04 01:50:23.573492,1,2,1,25,92,0,0
2025-12-04 01:50:36.485965,1,2,2,25,92,0,0
2025-12-04 01:50:49.359058,1,1,1,25,95,0,0
2025-12-04 01:51:03.266763,1,1,3,19,95,0,0
